accX,accY,accZ
4.549,-10.667,1.255
4.863,-10.51,0.471
4.863,-10.98,0.784
5.02,-10.98,0.941
5.333,-11.294,0.784
5.333,-11.451,0.784
5.49,-11.608,0.941
5.333,-11.765,1.098
5.333,-11.922,0.941
5.176,-12.235,0.941
5.333,-12.392,1.098
5.49,-12.549,0.941
5.49,-12.706,0.941
5.647,-13.176,1.569
5.961,-13.02,1.725
5.804,-12.549,1.725
5.49,-11.765,1.255
5.176,-11.451,1.412
5.02,-10.353,0.627
5.02,-10.353,0.784
5.49,-12.863,0.784
6.275,-16.314,0.784
5.804,-17.255,1.098
5.333,-17.882,1.725
5.176,-17.412,2.039
5.02,-15.216,1.882
4.863,-14.275,1.725
4.706,-12.078,0.941
4.863,-10.824,0.627
5.176,-10.51,0.471
5.49,-10.98,0.157
5.49,-11.608,0.157
5.49,-13.02,0.471
5.647,-13.49,0.314
5.333,-14.431,0.627
4.863,-14.902,0.471
4.706,-14.902,0.157
4.863,-15.373,-0.157
4.549,-15.216,-0.157
4.392,-15.373,-0.314
4.235,-15.059,-0.157
3.922,-14.118,0.157
3.294,-13.02,0.471
3.137,-12.235,0.314
2.824,-11.137,0.314
2.353,-10.824,0.627
2.039,-10.039,0.471
1.882,-9.725,0.627
1.569,-9.255,0.471
1.569,-8.784,0.314
1.725,-8.941,0.157
1.725,-8.784,-0.157
1.725,-8.784,0.157
2.039,-8.627,0
2.039,-8.471,0.157
2.196,-8.627,0
2.196,-8.471,0
2.039,-8.471,0
1.882,-8.627,-0.157
1.412,-8.314,-0.314
0.941,-8.157,-0.157
0.784,-8.314,-0.314
1.412,-8.157,-0.314
1.412,-8.157,-0.314
1.725,-8,-0.314
1.725,-7.843,-0.471
1.725,-7.843,-0.627
1.255,-7.686,-0.471
1.255,-7.843,-0.471
1.098,-8.157,-0.471
1.412,-8.314,-0.314
1.255,-8.627,-0.157
1.412,-9.255,-0.157
1.098,-9.412,-0.471
1.098,-10.039,-0.314
0.941,-10.196,-0.157
1.255,-10.98,-0.471
1.412,-10.824,-0.941
0.941,-10.667,-0.941
0.784,-10.51,-1.255
0.941,-10.353,-1.569
0.784,-10.039,-1.569
0.784,-9.882,-2.039
0,-9.255,-2.196
0,-10.196,-2.196
0,-10.98,-2.667
0,-13.02,-2.98
0,-13.804,-3.451
0.157,-14.745,-3.451
0.471,-14.745,-3.294
1.255,-13.961,-2.824
2.196,-12.235,-1.725
2.51,-11.608,-1.569
2.51,-11.137,-0.471
2.667,-11.137,-0.314
2.824,-11.137,0.627
2.824,-11.294,0.941
2.667,-11.608,1.255
2.98,-12.235,1.255
2.98,-12.392,1.569
2.51,-12.863,2.039
2.51,-13.333,2.353
1.882,-13.49,1.882
1.725,-13.333,1.725
1.725,-13.176,1.098
2.51,-12.392,0.627
2.667,-11.765,0.627
2.51,-10.667,0
2.196,-10.196,0
1.725,-9.255,-0.157
1.569,-8.157,0.157
1.098,-7.686,0
1.098,-6.745,0.314
0.941,-6.745,0.627
0.471,-5.961,0.627
1.255,-6.118,0.784
0.471,-6.431,0.941
1.412,-6.275,1.255
1.725,-6.588,1.255
1.882,-7.059,1.569
1.882,-6.902,1.882
2.667,-7.373,2.039
2.98,-7.373,2.196
3.137,-7.686,2.353
3.765,-8.157,2.196
4.078,-8,1.882
4.235,-8.314,1.569
4.235,-8.314,1.569
4.549,-8.941,1.569
4.706,-9.098,1.412
4.706,-9.725,1.098
4.549,-9.882,0.941
4.706,-9.882,1.255
5.02,-10.51,1.255
5.02,-10.667,1.098
5.333,-11.294,1.412
5.333,-11.294,1.569
5.49,-11.922,1.882
5.647,-12.078,1.725
5.49,-12.078,2.039
5.804,-12.706,2.196
5.804,-12.549,2.039
6.118,-12.706,2.353
5.961,-12.863,2.353
5.647,-12.549,2.353
5.647,-12.078,2.039
5.176,-11.451,2.196
4.863,-10.51,1.725
4.706,-10.667,1.412
4.863,-12.549,1.255
4.863,-14.118,1.255
5.176,-16.941,1.569
4.863,-17.569,2.196
4.549,-17.412,2.353
4.706,-15.686,2.196
4.392,-14.588,2.196
4.235,-12.863,1.412
4.392,-12.235,0.941
4.392,-10.98,0.471
4.549,-11.137,0.314
4.549,-11.294,0.157
4.549,-12.392,0
4.706,-13.02,0.157
4.706,-14.118,0.314
4.706,-14.431,0.157
4.863,-15.059,0.157
4.392,-15.373,-0.157
4.078,-15.686,-0.157
4.078,-15.686,-0.157
4.078,-15.059,-0.157
3.608,-14.745,-0.157
3.451,-14.118,0.157
2.98,-12.706,0.471
2.667,-11.451,0.627
2.51,-10.98,0.314
2.039,-10.196,0.314
1.725,-9.569,0.157
1.255,-8.941,0.314
1.255,-8.627,0
1.412,-8.314,0.157
1.569,-8.157,0.157
1.412,-8.157,0
1.412,-8.314,0.157
1.725,-8,0
1.725,-8,-0.157
1.725,-7.843,-0.157
1.255,-7.843,0
1.412,-7.843,-0.314
1.569,-7.686,-0.157
1.569,-7.529,-0.471
1.882,-7.529,-0.314
1.882,-7.686,-0.471
2.039,-7.686,-0.471
1.569,-7.843,-0.627
1.412,-7.843,-0.471
1.412,-8.157,-0.627
1.725,-8,-0.471
1.569,-8.314,-0.627
1.412,-8.471,-0.314
1.412,-8.471,-0.471
1.412,-9.098,-0.314
1.098,-9.725,0
1.098,-10.039,0
1.098,-10.039,0.157
1.569,-10.196,-0.314
1.569,-10.353,-0.471
1.098,-10.196,-0.784
0.627,-9.882,-0.627
0.314,-9.569,-1.255
0.157,-9.255,-1.255
-0.157,-8.627,-1.882
-0.471,-8.314,-1.882
-0.157,-8,-2.039
-0.157,-8.627,-1.882
0.157,-9.725,-2.039
0,-11.608,-2.51
0.157,-12.549,-2.51
0.157,-13.961,-2.667
0.627,-14.588,-2.51
1.412,-14.275,-1.882
2.667,-13.804,-1.098
2.98,-13.176,-0.941
3.608,-13.02,-0.471
3.765,-12.863,0
3.608,-12.863,0.471
3.608,-12.863,0.784
3.294,-12.549,1.255
3.137,-12.392,1.882
2.51,-12.235,1.882
2.039,-12.392,2.51
1.569,-12.392,2.353
1.098,-12.549,2.039
1.412,-12.706,1.882
2.039,-12.863,1.255
2.51,-12.549,0.941
2.51,-12.078,0.784
2.824,-11.137,0.471
2.824,-10.51,0.471
2.353,-9.255,0.157
2.353,-8.627,-0.157
1.412,-7.843,0.314
1.255,-6.902,0.314
1.098,-6.745,0.157
1.412,-6.275,0.471
1.255,-6.588,0.784
0.941,-6.431,0.784
1.569,-6.431,0.784
1.882,-6.588,1.098
1.882,-6.745,1.255
2.353,-6.902,1.412
2.667,-7.059,1.255
2.824,-7.216,1.255
3.137,-7.686,1.098
3.451,-7.686,1.098
3.922,-8.157,0.784
4.235,-8.627,0.784
4.078,-8.784,0.784
4.235,-9.412,0.627
4.235,-9.569,0.627
4.549,-10.039,0.784
4.863,-10.51,0.784
5.02,-10.98,0.784
5.333,-11.294,1.255
5.02,-11.294,1.255
5.176,-11.608,1.255
4.863,-11.608,1.412
5.02,-11.451,1.725
5.02,-11.608,1.569
5.176,-11.765,1.882
5.176,-12.235,2.039
5.333,-12.235,2.039
5.333,-12.549,2.039
5.176,-12.706,2.196
4.863,-12.235,2.039
4.706,-11.608,1.882
4.235,-10.98,1.412
3.922,-11.294,0.941
4.392,-12.549,0.784
5.02,-16,0.471
5.02,-17.569,0.784
5.176,-18.824,1.255
4.863,-18.51,1.725
4.392,-16.941,2.039
4.392,-15.059,1.882
4.549,-14.118,1.569
4.863,-12.706,1.098
4.706,-12.549,0.941
4.706,-12.235,0.627
4.863,-12.392,0.471
4.706,-12.863,0.471
4.392,-13.333,0.471
4.549,-13.647,0.627
4.549,-13.961,0.471
4.392,-13.961,0.471
4.078,-14.275,0.157
4.235,-14.275,0.314
3.765,-14.118,0.471
3.451,-13.49,0.471
3.294,-12.863,0.627
2.824,-12.078,0.471
2.824,-11.294,0.314
2.196,-10.51,0.627
1.882,-10.353,0.627
2.196,-9.255,0.314
1.882,-8.941,0.314
