accX,accY,accZ
2.98,-8.157,-2.353
2.824,-8.627,-2.98
3.137,-8.471,-2.98
2.98,-8.314,-3.137
2.353,-8.627,-2.824
2.039,-8.941,-2.51
1.569,-9.412,-2.039
1.412,-9.725,-1.725
1.098,-9.882,-2.196
1.098,-9.725,-1.882
1.725,-10.196,-2.196
1.882,-9.569,-2.667
2.196,-9.569,-2.824
2.039,-9.412,-2.98
2.039,-9.412,-2.98
1.725,-9.882,-2.51
1.412,-10.039,-2.353
0.784,-10.353,-2.824
0.784,-9.882,-2.51
0.941,-9.725,-2.98
2.039,-9.569,-2.667
2.353,-9.882,-2.51
3.137,-9.725,-2.667
2.039,-10.51,-1.412
1.882,-11.608,-1.098
2.353,-11.608,-1.255
2.196,-12.235,-1.882
2.039,-12.235,-1.569
2.039,-12.235,-1.255
2.039,-12.549,-1.725
2.98,-13.02,-2.51
2.824,-13.804,-2.353
3.765,-13.961,-2.51
2.196,-14.431,-2.353
2.039,-14.118,-2.039
1.255,-14.431,-2.039
1.255,-14.588,-2.196
1.412,-14.588,-2.98
2.196,-14.431,-3.608
2.667,-14.745,-5.176
2.353,-16,-6.118
1.725,-17.255,-6.431
0.941,-19.922,-8.471
0.784,-20.235,-9.569
0.471,-21.49,-10.824
-0.314,-22.902,-11.451
-1.569,-24.627,-12.235
-1.725,-25.412,-11.608
-2.98,-25.412,-10.353
-1.255,-23.529,-7.529
-1.255,-19.765,-8.627
-3.765,-16.471,-10.039
-2.667,-14.431,-9.569
5.647,-7.529,-8.627
6.275,-3.451,-8.471
5.961,-9.255,-8.784
5.02,-16.941,-2.667
7.686,-3.765,1.098
3.765,3.451,-2.824
2.51,-4.235,-4.392
-2.98,-2.353,-7.529
-5.333,-0.157,-8.157
-4.863,1.725,-8
-5.49,2.98,-8.784
-6.902,3.608,-7.059
-7.216,2.196,-4.549
-7.216,0.941,-2.667
-6.588,0.941,-2.196
-5.49,0.784,-2.039
-5.804,0.471,-2.039
-5.961,-0.314,-2.824
-5.49,-1.098,-2.824
-5.647,-2.039,-2.51
-5.804,-3.294,-1.725
-5.961,-4.549,-1.569
-5.49,-6.118,-1.882
-4.706,-6.431,-2.353
-4.392,-6.588,-3.137
-4.078,-6.902,-3.765
-3.451,-7.843,-4.392
-2.98,-9.569,-4.706
-2.51,-10.667,-4.235
-1.569,-12.549,-4.078
-0.941,-13.647,-4.392
0.314,-16,-4.863
0.471,-17.412,-4.392
2.667,-20.549,-4.078
