accX,accY,accZ
-0.157,-2.98,-0.627
0,-3.451,-0.784
-0.157,-4.235,-0.941
-0.157,-4.235,-1.098
0,-5.176,-1.569
0.157,-5.961,-2.039
0.314,-8,-2.353
0.314,-8.627,-2.196
0.627,-9.882,-1.098
1.412,-10.824,0
2.039,-10.824,0.784
3.294,-11.294,0.471
4.235,-11.765,0.157
5.176,-13.176,-0.157
5.333,-14.745,0.627
4.863,-15.373,1.098
3.765,-16.314,1.255
3.294,-16,0.627
3.294,-14.118,-3.608
3.451,-12.863,-6.745
3.137,-12.235,-10.98
3.608,-12.863,-10.51
3.922,-13.333,-9.882
4.078,-14.275,-9.412
5.02,-14.745,-9.569
6.745,-15.373,-8.471
6.431,-14.745,-6.118
5.176,-14.431,-5.647
2.824,-12.706,-5.647
1.725,-11.608,-5.804
0.157,-10.667,-5.961
-2.196,-9.725,-6.431
-3.137,-8.941,-6.118
-5.176,-8.314,-7.216
-5.02,-8.314,-7.529
-4.706,-9.882,-6.902
-4.392,-10.353,-6.745
-3.608,-12.078,-4.863
-1.725,-13.176,-1.569
-0.471,-13.49,-0.471
0.784,-12.549,0.627
1.255,-11.922,0.627
2.667,-10.98,0.157
3.765,-9.569,-0.471
3.608,-8.941,-0.941
3.608,-7.686,-1.569
3.608,-7.216,-1.569
3.137,-6.275,-1.725
2.824,-6.118,-1.725
2.824,-5.176,-1.725
2.039,-4.078,-2.039
2.039,-3.451,-1.882
1.255,-2.667,-2.196
0.784,-2.51,-2.196
0,-2.196,-1.882
-0.471,-1.882,-1.725
-0.471,-2.196,-1.412
-0.941,-2.98,-0.941
-1.098,-2.98,-0.627
-0.784,-3.451,-0.314
-0.314,-4.078,-0.314
-0.157,-4.392,-0.157
0.627,-4.863,0.157
0.784,-5.176,-0.471
1.255,-5.961,-0.941
2.039,-6.275,-1.255
3.137,-7.529,-1.882
3.451,-8,-2.353
2.824,-8.627,-2.353
1.882,-9.255,-2.196
1.255,-9.725,-2.039
-0.157,-10.51,-0.471
-1.255,-12.078,0.784
-1.569,-13.49,2.039
-0.941,-16.314,3.765
-0.157,-16.627,3.451
0.314,-16,1.098
0,-15.373,-0.941
-0.941,-14.588,-7.373
-2.039,-15.059,-10.667
-2.667,-15.373,-11.451
-4.549,-16.157,-12.549
-5.647,-16.157,-13.176
-8.157,-16.941,-13.02
-7.216,-17.098,-10.196
-5.333,-16.314,-8.471
-3.294,-14.588,-8.157
-2.196,-13.333,-8
0.784,-11.451,-7.216
2.98,-10.196,-5.804
4.235,-9.882,-5.333
6.431,-8.941,-5.333
6.745,-8.314,-5.804
5.647,-7.686,-6.588
5.647,-8.157,-6.275
5.02,-9.882,-5.02
4.078,-11.765,-2.824
4.392,-12.235,-2.039
4.392,-12.706,-1.412
4.235,-12.549,-0.784
3.137,-11.608,-0.784
1.882,-10.039,-1.569
0.941,-9.098,-1.882
0.157,-7.686,-2.51
0.314,-6.902,-2.353
-0.627,-5.804,-2.51
0,-5.647,-2.51
0.314,-4.549,-1.882
0.314,-4.235,-1.412
0.314,-3.922,-1.255
0.471,-3.294,-0.941
0.627,-2.667,-0.941
0.784,-2.353,-0.471
0.784,-2.039,-0.627
0.627,-2.039,-0.471
0.471,-2.51,-0.627
0.471,-2.824,-0.314
0.314,-3.451,-0.314
0.314,-4.078,0.157
0.314,-4.078,0
0.627,-4.706,0.314
0.627,-5.02,0
1.098,-6.118,-0.784
1.098,-6.902,-1.412
0.784,-8,-1.412
0.784,-8.784,-0.941
0.941,-8.941,-0.471
1.725,-9.255,0.157
2.196,-9.725,0.157
3.765,-10.51,-0.157
4.549,-12.863,0.471
4.235,-14.588,0.941
2.98,-17.255,1.569
2.196,-17.725,1.725
1.255,-16.314,-0.627
1.569,-14.902,-7.216
1.725,-12.392,-9.569
3.137,-12.549,-11.294
3.608,-13.333,-10.98
5.176,-14.431,-10.824
6.118,-15.529,-10.98
7.529,-16.784,-11.765
8.157,-17.255,-9.412
7.686,-16.627,-8.157
4.706,-14.588,-6.902
3.765,-13.49,-6.588
1.098,-11.608,-5.804
-1.255,-10.353,-5.49
-2.51,-10.039,-5.176
-4.706,-8.627,-6.431
-4.863,-8.314,-6.902
-4.706,-8.941,-7.373
-4.706,-9.412,-7.059
-4.078,-10.824,-5.647
-2.51,-12.235,-2.667
-1.725,-12.549,-0.941
0,-12.078,0.471
0.157,-11.294,0.784
1.412,-10.51,0.471
2.51,-9.255,-0.157
3.137,-8.471,-0.314
3.451,-7.216,-0.784
3.765,-6.745,-1.255
3.451,-6.118,-1.412
3.451,-5.647,-1.569
3.294,-5.176,-1.725
3.137,-4.235,-1.725
2.824,-3.922,-1.569
2.039,-3.137,-1.882
1.569,-2.824,-1.882
0.941,-2.51,-1.725
0.157,-2.196,-1.412
0,-1.882,-1.412
-0.471,-2.353,-0.941
-0.157,-2.824,-0.784
-0.314,-3.294,-0.627
-0.157,-3.922,-0.157
0,-3.922,-0.314
0.314,-4.392,-0.941
0.471,-4.549,-0.941
0.471,-5.49,-1.098
0.627,-6.118,-1.412
0.941,-7.373,-1.725
1.412,-8.157,-2.196
1.569,-8.784,-2.196
1.255,-9.882,-1.412
0.784,-10.196,-0.784
-0.471,-11.922,0
-1.255,-13.804,1.098
-1.412,-15.059,2.039
-1.412,-16.941,3.137
-0.471,-16.784,2.51
-0.314,-15.686,0.471
-1.255,-14.588,-4.706
-1.412,-14.118,-7.373
-2.353,-14.275,-10.51
-2.824,-14.902,-10.98
-3.922,-15.059,-12.078
-4.863,-14.745,-13.02
-7.686,-14.902,-13.647
-6.118,-15.373,-10.98
-4.235,-15.216,-9.098
-2.51,-13.647,-8.314
-1.412,-12.863,-8.784
1.412,-11.451,-7.529
4.078,-10.51,-6.275
5.647,-10.353,-5.961
7.843,-10.039,-6.118
7.686,-9.882,-6.431
6.745,-9.412,-7.843
6.275,-9.882,-7.686
5.02,-12.078,-5.804
3.451,-14.431,-3.765
3.765,-14.902,-3.137
3.922,-14.588,-2.353
4.078,-13.961,-1.725
2.51,-12.235,-0.627
0.784,-9.882,-1.098
0.314,-8.627,-1.725
-0.314,-6.745,-2.039
-0.784,-6.588,-2.196
-0.941,-5.02,-2.353
-0.627,-4.549,-2.039
-0.627,-4.392,-1.882
-0.157,-3.765,-1.569
0,-3.294,-1.412
0.157,-2.51,-1.098
0.314,-2.353,-1.098
0.627,-2.039,-0.471
0.941,-1.882,-0.471
0.941,-1.882,-0.314
0.784,-1.725,-0.314
0.471,-2.196,-0.471
0.471,-2.667,-0.157
0.471,-3.294,-0.314
0.471,-3.608,-0.157
0.627,-4.078,-0.157
0.471,-4.235,-0.157
0.784,-5.176,-1.098
0.784,-5.961,-1.725
0.471,-7.216,-1.882
0.471,-7.843,-1.725
0.784,-8.157,-1.412
1.098,-9.255,-0.314
1.412,-9.882,-0.157
2.353,-10.98,0
3.137,-12.706,-0.314
3.608,-13.961,0
4.078,-16,-0.157
3.922,-16.941,0.627
3.294,-18.039,0.157
3.608,-16.627,-3.137
3.608,-14.902,-6.118
4.392,-13.49,-10.196
4.392,-13.647,-10.51
5.02,-14.745,-10.51
5.333,-15.216,-10.51
5.647,-16,-10.667
7.059,-15.843,-10.196
7.373,-15.529,-8.784
5.961,-13.961,-5.804
4.549,-12.863,-5.49
2.353,-11.294,-5.49
0,-10.353,-5.49
-0.627,-9.725,-5.647
-4.078,-8.627,-5.804
-4.706,-8,-6.275
-5.49,-6.902,-7.216
-5.176,-8,-7.686
-5.49,-8.784,-7.216
-4.706,-10.667,-5.647
-4.078,-11.608,-4.235
